,result,eco,move_no,avg_rating
896,1,100,53,1341
897,1,266,79,1450
898,-1,40,64,1226
899,1,320,35,1566
900,1,241,77,1457
901,1,320,29,1661
902,1,40,59,1511
903,1,320,51,1581
904,0,100,97,1560
905,1,325,43,1390
906,-1,101,64,1491
907,1,420,39,1450
908,-1,4,66,1444
909,1,113,105,1418
910,0,301,107,1115
911,1,242,145,1597
912,-1,100,112,1293
913,1,236,51,1539
914,-1,240,78,1756
915,1,102,53,1229
916,-1,4,54,1640
917,1,200,71,1584
918,1,102,35,1241
919,-1,244,56,1397
920,1,101,65,1494
921,-1,30,102,1508
922,1,302,79,1542
923,1,240,85,1442
924,-1,234,50,1588
925,-1,310,42,1784
926,1,244,51,1636
927,1,244,15,1539
928,1,100,47,1471
929,-1,224,58,1608
930,-1,222,140,1640
931,1,234,13,1612
932,1,221,51,1475
933,1,13,85,1753
934,1,200,47,1843
935,1,222,55,1427
936,1,112,71,1223
937,-1,10,60,1493
938,1,200,73,1489
939,-1,43,74,1495
940,1,21,45,1657
941,1,40,65,1726
942,1,223,49,1627
943,1,200,45,1495
944,1,0,41,1379
945,-1,120,84,1657
946,-1,0,34,1409
947,0,310,116,1659
948,1,201,93,1661
949,-1,300,86,1676
950,-1,10,48,1843
951,1,302,47,1376
952,-1,120,58,1430
953,1,265,53,1501
954,1,300,97,1687
955,-1,100,72,1375
956,1,40,69,1527
957,1,245,59,1603
958,-1,245,104,1485
959,-1,241,64,1407
960,1,300,53,1635
961,1,101,91,1428
962,1,240,53,1375
963,1,250,21,1925
964,1,244,137,1597
965,-1,240,48,1333
966,-1,240,70,1525
967,1,106,61,1788
968,1,220,57,1599
969,-1,242,42,1623
970,-1,106,28,1594
971,1,112,49,1495
972,1,250,53,1601
973,-1,300,98,1409
974,1,4,99,1641
975,1,240,73,1386
976,1,101,57,1409
977,1,220,85,1289
978,1,241,11,1528
979,1,240,31,1446
980,-1,112,128,1507
981,1,227,119,1193
982,-1,121,48,1352
983,1,240,113,1453
984,-1,350,62,1578
985,1,227,27,1439
